full_date,year,month,max,min,date
1997-01-01,1997,January,25,16,1997-01
1997-01-02,1997,January,22,18,1997-01
1997-01-03,1997,January,18,17,1997-01
1997-01-04,1997,January,20,17,1997-01
1997-01-05,1997,January,19,15,1997-01
1997-01-06,1997,January,18,14,1997-01
1997-01-07,1997,January,19,14,1997-01
1997-01-08,1997,January,18,11,1997-01
1997-01-09,1997,January,16,11,1997-01
1997-01-10,1997,January,19,11,1997-01
1997-01-11,1997,January,20,12,1997-01
1997-01-12,1997,January,19,12,1997-01
1997-01-13,1997,January,19,15,1997-01
1997-01-14,1997,January,23,17,1997-01
1997-01-15,1997,January,21,17,1997-01
1997-01-16,1997,January,22,17,1997-01
1997-01-17,1997,January,21,18,1997-01
1997-01-18,1997,January,22,17,1997-01
1997-01-19,1997,January,21,17,1997-01
1997-01-20,1997,January,22,16,1997-01
1997-01-21,1997,January,23,18,1997-01
1997-01-22,1997,January,19,16,1997-01
1997-01-23,1997,January,19,13,1997-01
1997-01-24,1997,January,14,10,1997-01
1997-01-25,1997,January,13,10,1997-01
1997-01-26,1997,January,19,12,1997-01
1997-01-27,1997,January,20,13,1997-01
1997-01-28,1997,January,21,14,1997-01
1997-01-29,1997,January,22,14,1997-01
1997-01-30,1997,January,24,18,1997-01
1997-01-31,1997,January,26,17,1997-01
1997-02-01,1997,February,20,17,1997-02
1997-02-02,1997,February,20,17,1997-02
1997-02-03,1997,February,18,14,1997-02
1997-02-04,1997,February,19,14,1997-02
1997-02-05,1997,February,18,15,1997-02
1997-02-06,1997,February,17,14,1997-02
1997-02-07,1997,February,19,13,1997-02
1997-02-08,1997,February,18,13,1997-02
1997-02-09,1997,February,18,14,1997-02
1997-02-10,1997,February,17,16,1997-02
1997-02-11,1997,February,18,14,1997-02
1997-02-12,1997,February,15,13,1997-02
1997-02-13,1997,February,16,13,1997-02
1997-02-14,1997,February,16,14,1997-02
1997-02-15,1997,February,16,14,1997-02
1997-02-16,1997,February,15,13,1997-02
1997-02-17,1997,February,15,13,1997-02
1997-02-18,1997,February,18,11,1997-02
1997-02-19,1997,February,19,13,1997-02
1997-02-20,1997,February,21,14,1997-02
1997-02-21,1997,February,23,13,1997-02
1997-02-22,1997,February,21,16,1997-02
1997-02-23,1997,February,21,15,1997-02
1997-02-24,1997,February,24,16,1997-02
1997-02-25,1997,February,24,19,1997-02
1997-02-26,1997,February,26,21,1997-02
1997-02-27,1997,February,23,18,1997-02
1997-02-28,1997,February,24,17,1997-02
1997-03-01,1997,March,26,17,1997-03
1997-03-02,1997,March,22,16,1997-03
1997-03-03,1997,March,19,14,1997-03
1997-03-04,1997,March,21,14,1997-03
1997-03-05,1997,March,22,17,1997-03
1997-03-06,1997,March,26,17,1997-03
1997-03-07,1997,March,26,18,1997-03
1997-03-08,1997,March,26,19,1997-03
1997-03-09,1997,March,23,19,1997-03
1997-03-10,1997,March,26,20,1997-03
1997-03-11,1997,March,26,21,1997-03
1997-03-12,1997,March,25,20,1997-03
1997-03-13,1997,March,27,21,1997-03
1997-03-14,1997,March,26,21,1997-03
1997-03-15,1997,March,28,20,1997-03
1997-03-16,1997,March,23,21,1997-03
1997-03-17,1997,March,20,18,1997-03
1997-03-18,1997,March,20,18,1997-03
1997-03-19,1997,March,26,19,1997-03
1997-03-20,1997,March,21,17,1997-03
1997-03-21,1997,March,21,18,1997-03
1997-03-22,1997,March,23,18,1997-03
1997-03-23,1997,March,19,17,1997-03
1997-03-24,1997,March,19,16,1997-03
1997-03-25,1997,March,21,16,1997-03
1997-03-26,1997,March,26,19,1997-03
1997-03-27,1997,March,22,19,1997-03
1997-03-28,1997,March,21,19,1997-03
1997-03-29,1997,March,24,19,1997-03
1997-03-30,1997,March,26,18,1997-03
1997-03-31,1997,March,24,19,1997-03
1997-04-01,1997,April,22,19,1997-04
1997-04-02,1997,April,26,21,1997-04
1997-04-03,1997,April,27,21,1997-04
1997-04-04,1997,April,23,21,1997-04
1997-04-05,1997,April,26,20,1997-04
1997-04-06,1997,April,23,21,1997-04
1997-04-07,1997,April,22,20,1997-04
1997-04-08,1997,April,26,21,1997-04
1997-04-09,1997,April,25,22,1997-04
1997-04-10,1997,April,22,20,1997-04
1997-04-11,1997,April,28,20,1997-04
1997-04-12,1997,April,26,21,1997-04
1997-04-13,1997,April,25,22,1997-04
1997-04-14,1997,April,26,22,1997-04
1997-04-15,1997,April,29,24,1997-04
1997-04-16,1997,April,26,22,1997-04
1997-04-17,1997,April,24,21,1997-04
